"Rank","WSID","Name","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"157","","Theo Riddick","DET","RB53","6","86","268","155.0","31.3","161.0","+4.0"
"158","","Mitch Trubisky","CHI","QB22","5","79","230","156.3","28.2","183.0","+25.0"
"159","","Eli Manning","NYG","QB23","9","96","277","158.4","29.1","165.0","+6.0"
"160","","Jared Cook","OAK","TE19","7","89","266","160.8","29.4","178.0","+18.0"
"161","","Philadelphia (PHI)","","DST3","9","86","282","159.7","30.6","130.0","-31.0"
"162","","Mohamed Sanu","ATL","WR64","8","82","250","161.7","35.9","167.0","+5.0"
"163","","Paul Richardson","WAS","WR65","4","99","230","157.3","30.3","197.0","+34.0"
"164","","LeGarrette Blount","DET","RB54","6","64","262","160.3","39.3","143.0","-21.0"
"165","","Los Angeles (LAR)","","DST4","12","81","260","160.2","30.4","118.0","-47.0"
"166","","Jordan Wilkins","IND","RB55","9","95","250","154.9","35.2","160.0","-6.0"
"167","","Los Angeles (LAC)","","DST5","8","91","286","165.0","31.0","140.0","-27.0"
"168","","Ted Ginn","NO","WR66","6","94","256","164.5","35.0","174.0","+6.0"
"169","","Andy Dalton","CIN","QB24","9","100","265","166.9","31.9","222.0","+53.0"
"170","","Doug Martin","OAK","RB56","7","103","283","165.1","33.8","156.0","-14.0"
"171","","Austin Seferian-Jenkins","JAC","TE20","9","107","253","169.5","35.0","188.0","+17.0"
"172","","John Ross","CIN","WR67","9","118","291","161.1","34.1","210.0","+38.0"
"173","","Case Keenum","DEN","QB25","10","89","273","167.0","32.7","205.0","+32.0"
"174","","Ricky Seals-Jones","ARI","TE21","9","73","240","167.3","28.2","217.0","+43.0"
"175","","Houston (HOU)","","DST6","10","102","290","168.5","30.7","148.0","-27.0"
"176","","Frank Gore","MIA","RB57","11","97","285","167.4","34.8","200.0","+24.0"
"177","","Denver (DEN)","","DST7","10","88","266","169.7","29.3","151.0","-26.0"
"178","","Dez Bryant","FA","WR68","","68","283","157.9","40.6","158.0","-20.0"
"179","","Martavis Bryant","OAK","WR69","7","85","244","171.7","34.1","170.0","-9.0"
"180","","Benjamin Watson","NO","TE22","6","97","258","171.7","28.6","203.0","+23.0"
"181","","Baltimore (BAL)","","DST8","10","109","291","175.6","32.0","147.0","-34.0"
"182","","Austin Hooper","ATL","TE23","8","85","274","176.1","32.3","202.0","+20.0"
"183","","Jameis Winston","TB ","QB26","5","96","260","175.6","32.7","157.0","-26.0"
"184","","Geronimo Allison","GB","WR70","7","93","268","172.6","35.2","199.0","+15.0"
"185","","Stephen Gostkowski","NE","K1","11","100","313","176.6","33.2","127.0","-58.0"
"186","","D'Onta Foreman","HOU","RB58","10","94","255","173.4","39.0","154.0","-32.0"
"187","","Vance McDonald","PIT","TE24","7","109","292","180.5","31.5","232.0","+45.0"
"188","","Austin Ekeler","LAC","RB59","8","108","284","176.5","34.5","169.0","-19.0"
"189","","Christian Kirk","ARI","WR71","9","106","254","175.7","31.8","190.0","+1.0"
"190","","Donte Moncrief","JAC","WR72","9","89","246","175.8","32.3","235.0","+45.0"
"191","","Nyheim Hines","IND","RB60","9","50","282","173.1","33.7","176.0","-15.0"
"192","","Mike Wallace","PHI","WR73","9","60","251","181.0","37.1","269.0","+77.0"
"193","","Justin Tucker","BAL","K2","10","99","317","182.7","34.5","141.0","-52.0"
"194","","Samaje Perine","WAS","RB61","4","78","351","179.3","47.9","184.0","-10.0"
"195","","Javorius Allen","BAL","RB62","10","89","280","182.2","40.3","208.0","+13.0"
"196","","Danny Amendola","MIA","WR74","11","111","251","180.2","31.4","247.0","+51.0"
"197","","Quincy Enunwa","NYJ","WR75","11","103","247","181.0","29.3","273.0","+76.0"
"198","","Taywan Taylor","TEN","WR76","8","83","279","180.4","41.1","214.0","+16.0"
"199","","Greg Zuerlein","LAR","K3","12","96","311","183.0","31.9","132.0","-67.0"
"200","","Robert Kelley","WAS","RB63","4","96","286","180.6","41.3","159.0","-41.0"
"201","","James Washington","PIT","WR77","7","90","269","185.1","40.3","220.0","+19.0"
"202","","Ryan Grant","IND","WR78","9","107","260","177.9","30.7","283.0","+81.0"
"203","","Ryan Tannehill","MIA","QB27","11","121","244","184.0","28.3","252.0","+49.0"
"204","","Mike Gesicki","MIA","TE25","11","113","281","183.0","31.2","185.0","-19.0"
"205","","New Orleans (NO)","","DST9","6","95","295","186.0","30.8","172.0","-33.0"
"206","","Tyrod Taylor","CLE","QB28","11","92","333","189.5","42.5","218.0","+12.0"
"207","","Chris Ivory","BUF","RB64","11","100","243","183.1","28.6","236.0","+29.0"
"208","","Matt Bryant","ATL","K4","8","104","364","189.3","36.3","186.0","-22.0"
"209","","Courtland Sutton","DEN","WR79","10","109","289","193.1","37.6","196.0","-13.0"
"210","","New England (NE)","","DST10","11","113","306","191.9","33.0","198.0","-12.0"
"211","","Pittsburgh (PIT)","","DST11","7","108","357","193.7","35.7","179.0","-32.0"
"212","","Seattle (SEA)","","DST12","7","131","347","197.3","43.4","226.0","+14.0"
"213","","Spencer Ware","KC","RB65","12","112","264","189.2","31.8","209.0","-4.0"
"214","","Wil Lutz","NO","K5","6","111","362","195.1","34.9","162.0","-52.0"
"215","","Carolina (CAR)","","DST13","4","135","304","196.8","32.2","181.0","-34.0"
"216","","T.J. Yeldon","JAC","RB66","9","138","272","191.6","26.8","191.0","-25.0"
"217","","Corey Coleman","BUF","WR80","11","114","268","195.4","33.9","288.0","+71.0"
"218","","Alfred Morris","SF","RB67","11","98","346","193.8","54.4","301.0","+83.0"
"219","","Kenneth Dixon","BAL","RB68","10","108","290","193.1","32.7","219.0","0.0"
"220","","Jermaine Kearse","NYJ","WR81","11","117","275","201.7","35.9","298.0","+78.0"
"221","","Cole Beasley","DAL","WR82","8","106","267","203.3","37.5","254.0","+33.0"
"222","","Jake Elliott","PHI","K6","9","123","365","203.9","36.2","168.0","-54.0"
"223","","Matt Prater","DET","K7","6","116","329","201.2","33.2","216.0","-7.0"
"224","","Kansas City (KC)","","DST14","12","134","383","206.3","42.6","213.0","-11.0"
"225","","Dan Bailey","DAL","K8","8","107","363","205.6","37.1","212.0","-13.0"
"226","","Brandon Marshall","SEA","WR83","7","107","278","202.0","39.8","264.0","+38.0"
"227","","Dante Pettis","SF","WR84","11","108","287","202.8","37.1","270.0","+43.0"
"228","","Albert Wilson","MIA","WR85","11","116","269","203.2","31.7","282.0","+54.0"
"229","","Jeremy Hill","NE","RB69","11","105","264","203.3","38.2","204.0","-25.0"
"230","","Chicago (CHI)","","DST15","5","112","302","207.0","32.6","234.0","+4.0"
"231","","Chris Boswell","PIT","K9","7","120","371","208.0","35.1","187.0","-44.0"
"232","","Harrison Butker","KC","K10","12","124","372","210.3","37.0","164.0","-68.0"
"233","","Atlanta (ATL)","","DST16","8","119","340","211.1","35.6","230.0","-3.0"
"234","","Jonathan Williams","NO","RB70","6","129","315","209.0","48.0","308.0","+74.0"
"235","","Hayden Hurst","BAL","TE26","10","137","292","204.5","34.2","201.0","-34.0"
"236","","Kalen Ballage","MIA","RB71","11","99","330","213.0","43.2","240.0","+4.0"
"237","","Darren Sproles","PHI","RB72","9","118","255","208.9","31.7","261.0","+24.0"
"238","","Joe Flacco","BAL","QB29","10","132","320","213.6","33.4","249.0","+11.0"
"239","","Arizona (ARI)","","DST17","9","115","320","211.6","34.3","228.0","-11.0"
"240","","Green Bay (GB)","","DST18","7","129","359","222.7","43.0","223.0","-17.0"
"241","","Mason Crosby","GB","K11","7","125","366","212.0","34.9","225.0","-16.0"
"242","","Terrance Williams","DAL","WR86","8","149","282","211.5","32.0","260.0","+18.0"
"243","","James Conner","PIT","RB73","7","135","300","217.5","41.1","206.0","-37.0"
"244","","Corey Grant","JAC","RB74","9","122","294","215.5","34.8","326.0","+82.0"
"245","","John Kelly","LAR","RB75","12","160","316","226.8","43.0","277.0","+32.0"
"246","","Robbie Gould","SF","K12","11","135","373","218.6","39.2","182.0","-64.0"
"247","","Tre'Quan Smith","NO","WR87","6","145","346","222.7","42.3","263.0","+16.0"
"248","","Chase Edmonds","ARI","RB76","9","116","297","216.3","33.6","262.0","+14.0"
"249","","Phillip Dorsett","NE","WR88","11","140","286","207.4","43.0","239.0","-10.0"
"250","","New York (NYG)","","DST19","9","118","360","231.4","43.1","278.0","+28.0"
"251","","Sam Bradford","ARI","QB30","9","128","296","212.6","33.6","246.0","-5.0"
"252","","Graham Gano","CAR","K13","4","127","387","226.8","40.2","245.0","-7.0"
"253","","Jonathan Stewart","NYG","RB77","9","153","284","222.7","34.0","290.0","+37.0"
"254","","Ryan Succop","TEN","K14","8","132","389","227.2","50.1","253.0","-1.0"
"255","","Terrelle Pryor","NYJ","WR89","11","142","289","216.3","28.8","272.0","+17.0"
"256","","Cincinnati (CIN)","","DST20","9","126","321","232.4","36.8","295.0","+39.0"
"257","","Sam Darnold","NYJ","QB31","11","147","302","227.5","37.2","256.0","-1.0"
"258","","Antonio Callaway","CLE","WR90","11","127","299","230.8","44.0","307.0","+49.0"
"259","","Vernon Davis","WAS","TE27","4","155","273","223.1","28.9","281.0","+22.0"
"260","","Brandon McManus","DEN","K15","10","130","368","234.9","44.7","275.0","+15.0"
"261","","Kai Forbath","FA","K16","","128","279","218.5","36.6","248.0","-13.0"
"262","","Luke Willson","DET","TE28","6","147","267","217.9","28.6","224.0","-38.0"
"263","","Wayne Gallman","NYG","RB78","9","159","337","218.7","32.2","279.0","+16.0"
"264","","Willie Snead","BAL","WR91","10","139","305","230.2","35.2","310.0","+46.0"
"265","","Rod Smith","DAL","RB79","8","158","327","233.4","37.1","268.0","+3.0"
"266","","Tennessee (TEN)","","DST21","8","156","358","228.3","37.9","193.0","-73.0"
"267","","Tyler Kroft","CIN","TE29","9","133","292","232.6","40.8","365.0","+98.0"
"268","","Adam Vinatieri","IND","K17","9","152","370","225.6","36.0","242.0","-26.0"
"269","","Jake Butt","DEN","TE30","10","132","296","222.2","34.9","215.0","-54.0"
"270","","Jordan Matthews","FA","WR92","","72","387","229.4","70.4","238.0","-32.0"
"271","","Christine Michael","IND","RB80","9","148","294","226.1","50.2","348.0","+77.0"
"272","","Detroit (DET)","","DST22","6","122","375","249.0","47.5","265.0","-7.0"
"273","","Josh Allen","BUF","QB32","11","158","273","221.1","31.5","257.0","-16.0"
"274","","Jaron Brown","SEA","WR93","7","126","294","226.5","34.3","355.0","+81.0"
"275","","Ameer Abdullah","DET","RB81","6","144","348","230.9","40.3","292.0","+17.0"
"276","","Travis Benjamin","LAC","WR94","8","163","296","232.3","36.2","296.0","+20.0"
"277","","Daniel Carlson","MIN","K18","10","158","391","247.2","58.7","243.0","-34.0"
